		名詞	
あ	｜空《あ》	動詞カ行五段	
あっけ	｜呆気《あっけ》	名詞	
あいきょう	｜愛嬌《あいきょう》	名詞	
あいまみえ	｜相見《あいまみ》え	動詞一段	
あえ	｜喘《あえ》	動詞ガ行五段	
あえて	｜敢《あ》えて	副詞	
あお	｜扇《あお》	動詞ガ行五段	
あお	｜煽《あお》	動詞ラ行五段	
あお	｜呷《あお》	動詞ラ行五段	
あかね	｜茜《あかね》	名詞	
あきれ	｜呆《あき》れ	動詞一段	
あさって	｜明後日《あさって》	名詞	
あさもや	｜朝靄《あさもや》	名詞	
あざけ	｜嘲《あざけ》	動詞ラ行五段	
あし	｜葦《アシ》	名詞	
あした	｜明日《あした》	名詞	
あしら	｜遇《あしら》	動詞ワ行五段	
あしら	｜配《あしら》	動詞ワ行五段	
あせ	｜褪《あ》せ	動詞一段	
あちこち	｜彼方此方《あちこち》	名詞	
あつらえ	｜誂《あつら》え	動詞一段	
あてが	｜宛行《あてが》	動詞ワ行五段	
あとじさ	｜後退《あとじさ》	動詞ラ行五段	
あとずさ	｜後退《あとずさ》	動詞ラ行五段	
あなた	｜貴方《あなた》	名詞	
あなた	｜貴女《あなた》	名詞	
あびきょうかん	｜阿鼻叫喚《あびきょうかん》	名詞	
あふれ	｜溢《あふ》れ	動詞一段	
あぽかりぷす	｜黙示録《アポカリプス》	名詞	
あまた	｜数多《あまた》	名詞	
あまるがむ	｜水銀合金《アマルガム》	名詞	
あめあられ	｜雨霰《あめあられ》	名詞	
あらが	｜抗《あらが》	動詞ワ行五段	
あらた	｜検《あらた》	動詞マ行五段	
あらばすたー	｜雪花石膏《アラバスター》	名詞	
あられ	｜霰《あられ》	名詞	
あらわ	｜顕《あらわ》	名詞	
あるじ	｜主《あるじ》	名詞	
あんしょく	｜暗色《あんしょく》	名詞	
あんじょう	｜鞍上《あんじょう》	名詞	
あんど	｜安堵《あんど》	名詞	
い	｜行《い》	動詞カ行五段	
い・ぶらぜる	｜至福の島《イ・ブラゼル》	名詞	
いっかつ	｜一喝《いっかつ》	名詞サ変	
いっとき	｜一時《いっとき》	名詞	
いかん	｜如何《いかん》	名詞	
いきさつ	｜経緯《いきさつ》	名詞	
いく	｜偉?《いく》	名詞形動	
いくじ	｜意気地《いくじ》	名詞	
いくつ	｜幾《いく》つ	副詞	
いけにえ	｜生贄《いけにえ》	名詞	
いさかい	｜諍《いさか》い	名詞	
いざな	｜誘《いざな》	動詞ワ行五段	
いしおの	｜石斧《せきふ》	名詞	
いしゆみ	｜弩《いしゆみ》	名詞	
いたく	｜甚《いた》く	副詞	
いたずら	｜悪戯《いたずら》	名詞サ変	
いただ	｜戴《いただ》	動詞カ行五段	
いだ	｜抱《いだ》	動詞カ行五段	
いちじく	｜無花果《イチジク》	名詞	
いちせつな	｜一刹那《いちせつな》	名詞	
いちば	｜市場《いちば》	名詞	
いちべつ	｜一瞥《いちべつ》	名詞サ変	
いちる	｜一縷《いちる》	名詞	
いで	｜出《い》で	動詞一段	
いとま	｜暇《いとま》	名詞	
いな	｜否《いな》	名詞	
いにしえ	｜古《いにしえ》	名詞	
いばら	｜茨《いばら》	名詞	
いぶ	｜燻《いぶ》	動詞サ行五段	
いぶかし	｜訝《いぶか》し	動詞マ行五段	
いぶかしい	｜訝《いぶか》しい	名詞	
いやらし	｜厭《いや》らし	形容詞	
いらいら	｜苛々《いらいら》	名詞サ変	
いらだ	｜苛立《いらだ》	動詞タ行五段	
いりあいち	｜入会地《いりあいち》	名詞	
いれ	｜淹《い》れ	動詞一段	
いんぎん	｜慇懃《いんぎん》	名詞形動	
いんび	｜淫靡《いんび》	名詞形動	
うっそう	｜鬱蒼《うっそう》	副詞	
うかが	｜窺《うかが》	動詞ワ行五段	
うかつ	｜迂闊《うかつ》	名詞	
うが	｜穿《うが》	動詞タ行五段	
うごめ	｜蠢《うごめ》	動詞カ行五段	
うさぎ	｜兎《ウサギ》	名詞	
うさんくさ	｜胡散臭《うさんくさ》	形容詞	
うずくま	｜蹲《うずくま》	動詞ラ行五段	
うそ	｜嘘《うそ》	名詞	
うそぶ	｜嘯《うそぶ》	動詞カ行五段	
うたげ	｜宴《うたげ》	名詞	
うつむ	｜俯《うつむ》	動詞カ行五段	
うつろ	｜虚《うつ》ろ	名詞形動	
うな	｜唸《うな》	動詞ラ行五段	
うなず	｜頷《うなず》	動詞カ行五段	
うぬぼれ	｜自惚《うぬぼ》れ	動詞一段	
うぶ	｜初《うぶ》	名詞	
うま	｜旨《うま》	形容詞	
うま	｜上手《うま》	形容詞	
うま	｜美味《うま》	形容詞	
うまみ	｜旨味《うまみ》	名詞	
うめ	｜呻《うめ》	動詞カ行五段	
うらら	｜麗《うらら》	名詞形動	
うるさ	｜煩《うるさ》	形容詞	
うろ	｜洞《うろ》	名詞	
うろこ	｜鱗《うろこ》	名詞	
うわさ	｜噂《うわさ》	名詞	
うわて	｜上手《うわて》	名詞形動	
うんでぃーね	｜水の精霊《ウンディーネ》	名詞	
うんぬん	｜云々《うんぬん》	名詞	
えう゛ぁとん	｜海神の国《エヴァトン》	名詞	
えが	｜描《えが》	動詞カ行五段	
えきてい	｜駅逓《えきてい》	名詞	
えくせどら	｜壁龕《エクセドラ》	名詞	
えさ	｜餌《えさ》	名詞	
えにし	｜縁《えにし》	名詞	
えりじうむ	｜楽土《エリジウム》	名詞	
えん	｜縁《えん》	名詞	
えんすい	｜円錐《えんすい》	名詞	
えんせん	｜厭戦《えんせん》	名詞	
えんてい	｜堰堤《えんてい》	名詞	
えんどう	｜豌豆《エンドウ》	名詞	
お	｜追《お》	動詞ワ行五段	
お	｜捺《お》	動詞サ行五段	
おっくう	｜億劫《おっくう》	名詞形動	
おい	｜笈《おい》	名詞	
おいし	｜美味《おい》し	形容詞	
おうよう	｜鷹揚《おうよう》	名詞形動	
おえつ	｜嗚咽《おえつ》	名詞	
おおごと	｜大事《おおごと》	名詞	
おおぜい	｜大勢《おおぜい》	名詞	
おおむね	｜概《おおむ》ね	副詞	
おか	｜可笑《おか》	動詞サ行五段	
おくりな	｜諡《おくりな》	名詞	
おけ	｜桶《おけ》	名詞	
おこ	｜熾《おこ》	動詞サ行五段	
おこな	｜行《おこな》	動詞ワ行五段	
おご	｜奢《おご》	動詞ラ行五段	
おごそか	｜厳《おごそ》か	名詞形動	
おさ	｜長《おさ》	名詞	
おす	｜雄《おす》	名詞	
おぞけ	｜怖気《おぞけ》	名詞	
おぞまし	｜悍《おぞ》まし	形容詞	
おととい	｜一昨日《おととい》	名詞	
おとなげ	｜大人気《おとなげ》	副詞	
おとり	｜囮《おとり》	名詞	
おどけ	｜戯《おど》け	動詞一段	
おなご	｜女子《おなご》	名詞	
おのおの	｜各々《おのおの》	副詞	
おび	｜誘《おび》	動詞カ行五段	
おぼ	｜思《おぼ》	動詞サ行五段	
おぼろ	｜朧《おぼろ》	名詞形動	
おぼろづき	｜朧月《おぼろづき》	名詞	
おまもり	お｜守《まも》り	名詞	
おも	｜主《おも》	名詞	
おもむ	｜赴《おもむ》	動詞カ行五段	
おもむき	｜趣《おもむき》	名詞	
おもむろ	｜徐《おもむろ》	副詞	
おもり	お｜守《も》り	名詞	
おもんぱか	｜慮《おもんぱか》	動詞ラ行五段	
おわ	｜御座《おわ》	動詞サ行五段	
おんこ	｜御子《おんこ》	名詞	
おんしゅう	｜怨讐《おんしゅう》	名詞	
か	｜噛《か》	動詞マ行五段	
か	｜掻《か》	動詞カ行五段	
か	｜彼《か》	名詞	
か	｜描《か》	動詞カ行五段	
かい	｜甲斐《かい》	名詞	
かいこう	｜邂逅《かいこう》	名詞サ変	
かいざん	｜改竄《かいざん》	名詞サ変	
かいしょう	｜甲斐性《かいしょう》	名詞	
かいり	｜乖離《かいり》	名詞サ変	
かえって	｜却《かえ》って	副詞	
かか	｜拘《かか》	動詞ラ行五段	
かかし	｜案山子《かかし》	名詞	
かかずら	｜係《かか》ずら	動詞ワ行五段	
かかわ	｜拘《かか》わ	動詞ラ行五段	
かぎ	｜鉤《かぎ》	名詞	
かぎやり	｜鉤槍《かぎやり》	名詞	
かく	｜斯《か》く	副詞	
かくかくしかじか	｜斯く斯く然々《かくかくしかじか》	名詞	
かくま	｜匿《かくま》	動詞ワ行五段	
かけら	｜欠片《かけら》	名詞	
かざ	｜翳《かざ》	動詞サ行五段	
かし	｜樫《かし》	名詞	
かし	｜傾《かし》	動詞ガ行五段	
かしこ	｜畏《かしこ》	動詞ラ行五段	
かしこま	｜畏《かしこ》ま	動詞ラ行五段	
かしず	｜傅《かしず》	動詞カ行五段	
かじぼう	｜梶棒《かじぼう》	名詞	
かす	｜霞《かす》	動詞マ行五段	
かす	｜掠《かす》	動詞ラ行五段	
かす	｜滓《かす》	名詞	
かす	｜擦《かす》	動詞ラ行五段	
かすか	｜微《かす》か	名詞形動	
かすめ	｜掠《かす》め	動詞一段	
かずおお	｜数多《かずおお》	形容詞	
かせ	｜枷《かせ》	名詞	
かた	｜方《かた》	名詞	
かたい	｜下腿《かたい》	名詞	
かたき	｜敵《かたき》	名詞	
かたこんべ	｜地下墓所《カタコンベ》	名詞	
かたど	｜象《かたど》	動詞ラ行五段	
かたわら	｜傍《かたわ》ら	名詞	
かち	｜徒歩《かち》	名詞	
